Rank,Title,Author,Rating,Rating Count,Score,People Voted,Image
35,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1424340,793632,8276,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802._SY75_.jpg
36,Of Mice and Men,John Steinbeck,3.89,2679669,788101,8484,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890._SX50_.jpg
37,Fahrenheit 451,Ray Bradbury,3.96,2602521,783729,8305,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982._SY75_.jpg
38,Brave New World,Aldous Huxley,3.99,1957143,778220,8334,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129._SY75_.jpg
39,The Catcher in the Rye,J.D. Salinger,3.80,3705897,765426,8222,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107._SY75_.jpg
40,One Hundred Years of Solitude,Gabriel García Márquez,4.12,1031592,741296,7785,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320._SX50_.jpg
41,A Thousand Splendid Suns,Khaled Hosseini (Goodreads Author),4.44,1625374,732000,7731,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029._SY75_.jpg
42,1984,George Orwell,4.20,4994655,711242,7595,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427._SX50_.jpg
43,"Little Women (Little Women, #1)",Louisa May Alcott,4.16,2335523,706090,7746,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934._SY75_.jpg
44,The Princess Bride,William Goldman,4.27,922165,706076,7511,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787._SY75_.jpg
45,The Outsiders,S.E. Hinton (Goodreads Author),4.14,1466660,703901,7538,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804._SY75_.jpg
46,The Secret Garden,Frances Hodgson Burnett,4.16,1230527,702523,7685,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998._SY75_.jpg
47,The Time Traveler's Wife,Audrey Niffenegger (Goodreads Author),4.00,1825807,700934,7340,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1733519901i/18619684._SX50_.jpg
48,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2613500,693707,7384,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496._SY75_.jpg
49,"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,10728986,648842,6920,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598823299i/42844155._SX50_.jpg
50,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,3908562,637374,6869,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251._SY75_.jpg
51,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.98,1241164,631369,6752,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273._SX50_.jpg
52,The Odyssey,Homer,3.82,1129575,621948,6791,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1711957706i/1381._SY75_.jpg
53,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.88,1711351,616745,6787,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085._SY75_.jpg
54,The Kite Runner,Khaled Hosseini (Goodreads Author),4.35,3310049,607105,6560,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203._SY75_.jpg
55,"The Giver (The Giver, #1)",Lois Lowry (Goodreads Author),4.12,2647570,597943,6461,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636._SY75_.jpg
